"","actor_name","receiver_name","n"
"1","alanis22","alanis22",0
"2","alanis22","bea22",12
"3","alanis22","cher22",32
"4","alanis22","dolly22",8
"5","alanis22","dory22",0
"6","alanis22","fergie22",0
"7","alanis22","helen22",0
"8","alanis22","hilda22",4
"9","alanis22","isla22",0
"10","alanis22","judy22",4
"11","alanis22","kamari22",0
"12","alanis22","luna22",2
"13","alanis22","manon22",0
"14","alanis22","maui22",0
"15","alanis22","nelly22",8
"16","alanis22","raya22",0
"17","alanis22","rosa22",0
"18","alanis22","tracy22",2
"19","alanis22","ube22",0
"20","alanis22","uilani22",0
"21","alanis22","val22",0
"22","alanis22","zula22",0
"23","bea22","alanis22",16
"24","bea22","bea22",0
"25","bea22","cher22",16
"26","bea22","dolly22",0
"27","bea22","dory22",0
"28","bea22","fergie22",4
"29","bea22","helen22",20
"30","bea22","hilda22",0
"31","bea22","isla22",0
"32","bea22","judy22",0
"33","bea22","kamari22",0
"34","bea22","luna22",0
"35","bea22","manon22",0
"36","bea22","maui22",0
"37","bea22","nelly22",0
"38","bea22","raya22",0
"39","bea22","rosa22",0
"40","bea22","tracy22",0
"41","bea22","ube22",0
"42","bea22","uilani22",0
"43","bea22","val22",0
"44","bea22","zula22",0
"45","cher22","alanis22",4
"46","cher22","bea22",12
"47","cher22","cher22",0
"48","cher22","dolly22",12
"49","cher22","dory22",0
"50","cher22","fergie22",0
"51","cher22","helen22",8
"52","cher22","hilda22",0
"53","cher22","isla22",0
"54","cher22","judy22",12
"55","cher22","kamari22",0
"56","cher22","luna22",0
"57","cher22","manon22",6
"58","cher22","maui22",0
"59","cher22","nelly22",2
"60","cher22","raya22",0
"61","cher22","rosa22",0
"62","cher22","tracy22",0
"63","cher22","ube22",0
"64","cher22","uilani22",0
"65","cher22","val22",0
"66","cher22","zula22",2
"67","dolly22","alanis22",4
"68","dolly22","bea22",8
"69","dolly22","cher22",24
"70","dolly22","dolly22",0
"71","dolly22","dory22",0
"72","dolly22","fergie22",0
"73","dolly22","helen22",56
"74","dolly22","hilda22",0
"75","dolly22","isla22",0
"76","dolly22","judy22",8
"77","dolly22","kamari22",0
"78","dolly22","luna22",0
"79","dolly22","manon22",2
"80","dolly22","maui22",0
"81","dolly22","nelly22",2
"82","dolly22","raya22",0
"83","dolly22","rosa22",0
"84","dolly22","tracy22",0
"85","dolly22","ube22",6
"86","dolly22","uilani22",0
"87","dolly22","val22",0
"88","dolly22","zula22",0
"89","dory22","alanis22",0
"90","dory22","bea22",0
"91","dory22","cher22",0
"92","dory22","dolly22",0
"93","dory22","dory22",0
"94","dory22","fergie22",0
"95","dory22","helen22",0
"96","dory22","hilda22",0
"97","dory22","isla22",0
"98","dory22","judy22",0
"99","dory22","kamari22",0
"100","dory22","luna22",0
"101","dory22","manon22",0
"102","dory22","maui22",0
"103","dory22","nelly22",0
"104","dory22","raya22",0
"105","dory22","rosa22",2
"106","dory22","tracy22",3
"107","dory22","ube22",0
"108","dory22","uilani22",0
"109","dory22","val22",0
"110","dory22","zula22",1
"111","fergie22","alanis22",0
"112","fergie22","bea22",10
"113","fergie22","cher22",0
"114","fergie22","dolly22",0
"115","fergie22","dory22",0
"116","fergie22","fergie22",0
"117","fergie22","helen22",0
"118","fergie22","hilda22",0
"119","fergie22","isla22",0
"120","fergie22","judy22",0
"121","fergie22","kamari22",0
"122","fergie22","luna22",0
"123","fergie22","manon22",0
"124","fergie22","maui22",0
"125","fergie22","nelly22",2
"126","fergie22","raya22",0
"127","fergie22","rosa22",0
"128","fergie22","tracy22",0
"129","fergie22","ube22",0
"130","fergie22","uilani22",0
"131","fergie22","val22",0
"132","fergie22","zula22",0
"133","helen22","alanis22",0
"134","helen22","bea22",0
"135","helen22","cher22",0
"136","helen22","dolly22",4
"137","helen22","dory22",0
"138","helen22","fergie22",0
"139","helen22","helen22",0
"140","helen22","hilda22",0
"141","helen22","isla22",0
"142","helen22","judy22",24
"143","helen22","kamari22",0
"144","helen22","luna22",4
"145","helen22","manon22",0
"146","helen22","maui22",0
"147","helen22","nelly22",0
"148","helen22","raya22",2
"149","helen22","rosa22",0
"150","helen22","tracy22",0
"151","helen22","ube22",0
"152","helen22","uilani22",0
"153","helen22","val22",0
"154","helen22","zula22",0
"155","hilda22","alanis22",0
"156","hilda22","bea22",0
"157","hilda22","cher22",0
"158","hilda22","dolly22",0
"159","hilda22","dory22",0
"160","hilda22","fergie22",0
"161","hilda22","helen22",0
"162","hilda22","hilda22",0
"163","hilda22","isla22",2
"164","hilda22","judy22",0
"165","hilda22","kamari22",2
"166","hilda22","luna22",0
"167","hilda22","manon22",0
"168","hilda22","maui22",0
"169","hilda22","nelly22",0
"170","hilda22","raya22",4
"171","hilda22","rosa22",0
"172","hilda22","tracy22",0
"173","hilda22","ube22",0
"174","hilda22","uilani22",0
"175","hilda22","val22",0
"176","hilda22","zula22",3
"177","isla22","alanis22",0
"178","isla22","bea22",0
"179","isla22","cher22",0
"180","isla22","dolly22",0
"181","isla22","dory22",0
"182","isla22","fergie22",0
"183","isla22","helen22",0
"184","isla22","hilda22",5
"185","isla22","isla22",0
"186","isla22","judy22",0
"187","isla22","kamari22",2
"188","isla22","luna22",0
"189","isla22","manon22",0
"190","isla22","maui22",0
"191","isla22","nelly22",0
"192","isla22","raya22",5
"193","isla22","rosa22",0
"194","isla22","tracy22",0
"195","isla22","ube22",0
"196","isla22","uilani22",0
"197","isla22","val22",0
"198","isla22","zula22",0
"199","judy22","alanis22",0
"200","judy22","bea22",4
"201","judy22","cher22",0
"202","judy22","dolly22",4
"203","judy22","dory22",0
"204","judy22","fergie22",0
"205","judy22","helen22",12
"206","judy22","hilda22",0
"207","judy22","isla22",0
"208","judy22","judy22",0
"209","judy22","kamari22",0
"210","judy22","luna22",0
"211","judy22","manon22",0
"212","judy22","maui22",0
"213","judy22","nelly22",0
"214","judy22","raya22",0
"215","judy22","rosa22",0
"216","judy22","tracy22",0
"217","judy22","ube22",0
"218","judy22","uilani22",0
"219","judy22","val22",0
"220","judy22","zula22",0
"221","kamari22","alanis22",0
"222","kamari22","bea22",2
"223","kamari22","cher22",0
"224","kamari22","dolly22",0
"225","kamari22","dory22",0
"226","kamari22","fergie22",0
"227","kamari22","helen22",0
"228","kamari22","hilda22",6
"229","kamari22","isla22",2
"230","kamari22","judy22",0
"231","kamari22","kamari22",0
"232","kamari22","luna22",1
"233","kamari22","manon22",0
"234","kamari22","maui22",0
"235","kamari22","nelly22",0
"236","kamari22","raya22",0
"237","kamari22","rosa22",0
"238","kamari22","tracy22",0
"239","kamari22","ube22",0
"240","kamari22","uilani22",0
"241","kamari22","val22",0
"242","kamari22","zula22",0
"243","luna22","alanis22",0
"244","luna22","bea22",0
"245","luna22","cher22",0
"246","luna22","dolly22",0
"247","luna22","dory22",0
"248","luna22","fergie22",0
"249","luna22","helen22",4
"250","luna22","hilda22",0
"251","luna22","isla22",0
"252","luna22","judy22",0
"253","luna22","kamari22",0
"254","luna22","luna22",0
"255","luna22","manon22",0
"256","luna22","maui22",0
"257","luna22","nelly22",0
"258","luna22","raya22",0
"259","luna22","rosa22",0
"260","luna22","tracy22",1
"261","luna22","ube22",0
"262","luna22","uilani22",0
"263","luna22","val22",0
"264","luna22","zula22",0
"265","manon22","alanis22",6
"266","manon22","bea22",0
"267","manon22","cher22",2
"268","manon22","dolly22",6
"269","manon22","dory22",0
"270","manon22","fergie22",0
"271","manon22","helen22",2
"272","manon22","hilda22",0
"273","manon22","isla22",0
"274","manon22","judy22",2
"275","manon22","kamari22",0
"276","manon22","luna22",1
"277","manon22","manon22",0
"278","manon22","maui22",0
"279","manon22","nelly22",0
"280","manon22","raya22",0
"281","manon22","rosa22",0
"282","manon22","tracy22",0
"283","manon22","ube22",0
"284","manon22","uilani22",0
"285","manon22","val22",0
"286","manon22","zula22",0
"287","maui22","alanis22",0
"288","maui22","bea22",0
"289","maui22","cher22",0
"290","maui22","dolly22",0
"291","maui22","dory22",0
"292","maui22","fergie22",0
"293","maui22","helen22",0
"294","maui22","hilda22",0
"295","maui22","isla22",0
"296","maui22","judy22",0
"297","maui22","kamari22",0
"298","maui22","luna22",0
"299","maui22","manon22",0
"300","maui22","maui22",1
"301","maui22","nelly22",0
"302","maui22","raya22",0
"303","maui22","rosa22",0
"304","maui22","tracy22",0
"305","maui22","ube22",0
"306","maui22","uilani22",0
"307","maui22","val22",0
"308","maui22","zula22",0
"309","nelly22","alanis22",0
"310","nelly22","bea22",0
"311","nelly22","cher22",0
"312","nelly22","dolly22",0
"313","nelly22","dory22",0
"314","nelly22","fergie22",4
"315","nelly22","helen22",0
"316","nelly22","hilda22",0
"317","nelly22","isla22",0
"318","nelly22","judy22",0
"319","nelly22","kamari22",0
"320","nelly22","luna22",1
"321","nelly22","manon22",1
"322","nelly22","maui22",0
"323","nelly22","nelly22",0
"324","nelly22","raya22",0
"325","nelly22","rosa22",0
"326","nelly22","tracy22",0
"327","nelly22","ube22",0
"328","nelly22","uilani22",0
"329","nelly22","val22",0
"330","nelly22","zula22",0
"331","raya22","alanis22",0
"332","raya22","bea22",0
"333","raya22","cher22",0
"334","raya22","dolly22",0
"335","raya22","dory22",0
"336","raya22","fergie22",0
"337","raya22","helen22",0
"338","raya22","hilda22",1
"339","raya22","isla22",1
"340","raya22","judy22",0
"341","raya22","kamari22",2
"342","raya22","luna22",0
"343","raya22","manon22",0
"344","raya22","maui22",0
"345","raya22","nelly22",0
"346","raya22","raya22",0
"347","raya22","rosa22",0
"348","raya22","tracy22",0
"349","raya22","ube22",0
"350","raya22","uilani22",0
"351","raya22","val22",0
"352","raya22","zula22",0
"353","rosa22","alanis22",0
"354","rosa22","bea22",0
"355","rosa22","cher22",0
"356","rosa22","dolly22",0
"357","rosa22","dory22",3
"358","rosa22","fergie22",0
"359","rosa22","helen22",0
"360","rosa22","hilda22",0
"361","rosa22","isla22",0
"362","rosa22","judy22",0
"363","rosa22","kamari22",0
"364","rosa22","luna22",0
"365","rosa22","manon22",0
"366","rosa22","maui22",0
"367","rosa22","nelly22",0
"368","rosa22","raya22",0
"369","rosa22","rosa22",0
"370","rosa22","tracy22",0
"371","rosa22","ube22",1
"372","rosa22","uilani22",1
"373","rosa22","val22",0
"374","rosa22","zula22",2
"375","tracy22","alanis22",0
"376","tracy22","bea22",6
"377","tracy22","cher22",0
"378","tracy22","dolly22",0
"379","tracy22","dory22",4
"380","tracy22","fergie22",0
"381","tracy22","helen22",0
"382","tracy22","hilda22",0
"383","tracy22","isla22",0
"384","tracy22","judy22",2
"385","tracy22","kamari22",0
"386","tracy22","luna22",1
"387","tracy22","manon22",0
"388","tracy22","maui22",0
"389","tracy22","nelly22",0
"390","tracy22","raya22",0
"391","tracy22","rosa22",0
"392","tracy22","tracy22",0
"393","tracy22","ube22",0
"394","tracy22","uilani22",3
"395","tracy22","val22",0
"396","tracy22","zula22",11
"397","ube22","alanis22",0
"398","ube22","bea22",0
"399","ube22","cher22",2
"400","ube22","dolly22",10
"401","ube22","dory22",0
"402","ube22","fergie22",0
"403","ube22","helen22",0
"404","ube22","hilda22",1
"405","ube22","isla22",0
"406","ube22","judy22",0
"407","ube22","kamari22",0
"408","ube22","luna22",0
"409","ube22","manon22",0
"410","ube22","maui22",0
"411","ube22","nelly22",0
"412","ube22","raya22",0
"413","ube22","rosa22",1
"414","ube22","tracy22",0
"415","ube22","ube22",0
"416","ube22","uilani22",0
"417","ube22","val22",0
"418","ube22","zula22",0
"419","uilani22","alanis22",0
"420","uilani22","bea22",0
"421","uilani22","cher22",0
"422","uilani22","dolly22",0
"423","uilani22","dory22",0
"424","uilani22","fergie22",1
"425","uilani22","helen22",0
"426","uilani22","hilda22",0
"427","uilani22","isla22",0
"428","uilani22","judy22",0
"429","uilani22","kamari22",0
"430","uilani22","luna22",0
"431","uilani22","manon22",0
"432","uilani22","maui22",0
"433","uilani22","nelly22",0
"434","uilani22","raya22",0
"435","uilani22","rosa22",1
"436","uilani22","tracy22",0
"437","uilani22","ube22",0
"438","uilani22","uilani22",0
"439","uilani22","val22",2
"440","uilani22","zula22",1
"441","val22","alanis22",0
"442","val22","bea22",0
"443","val22","cher22",0
"444","val22","dolly22",0
"445","val22","dory22",0
"446","val22","fergie22",0
"447","val22","helen22",0
"448","val22","hilda22",0
"449","val22","isla22",0
"450","val22","judy22",0
"451","val22","kamari22",0
"452","val22","luna22",0
"453","val22","manon22",0
"454","val22","maui22",0
"455","val22","nelly22",0
"456","val22","raya22",0
"457","val22","rosa22",0
"458","val22","tracy22",2
"459","val22","ube22",0
"460","val22","uilani22",6
"461","val22","val22",0
"462","val22","zula22",2
"463","zula22","alanis22",0
"464","zula22","bea22",0
"465","zula22","cher22",2
"466","zula22","dolly22",2
"467","zula22","dory22",2
"468","zula22","fergie22",0
"469","zula22","helen22",0
"470","zula22","hilda22",1
"471","zula22","isla22",0
"472","zula22","judy22",0
"473","zula22","kamari22",0
"474","zula22","luna22",0
"475","zula22","manon22",0
"476","zula22","maui22",0
"477","zula22","nelly22",0
"478","zula22","raya22",0
"479","zula22","rosa22",1
"480","zula22","tracy22",17
"481","zula22","ube22",0
"482","zula22","uilani22",4
"483","zula22","val22",0
"484","zula22","zula22",0
